waveform	Ch0		Gen	
t0	2023-10-20  17:21:56.883828		2023-10-20  17:21:56.883828	
delta t	8.000000E-6		8.000000E-6	

time[0]	Ch0	time[1]	Gen
2023-10-20  17:21:56.884268	-6.412114E-1	2023-10-20  17:21:56.884268	2.901133E-2
2023-10-20  17:21:56.884276	-6.412114E-1	2023-10-20  17:21:56.884276	4.600604E-2
2023-10-20  17:21:56.884284	-5.989404E-1	2023-10-20  17:21:56.884284	5.025471E-2
2023-10-20  17:21:56.884292	-5.989404E-1	2023-10-20  17:21:56.884292	4.175736E-2
2023-10-20  17:21:56.884300	-6.412114E-1	2023-10-20  17:21:56.884300	3.750868E-2
2023-10-20  17:21:56.884308	-6.412114E-1	2023-10-20  17:21:56.884308	5.025471E-2
2023-10-20  17:21:56.884316	-5.989404E-1	2023-10-20  17:21:56.884316	2.901133E-2
2023-10-20  17:21:56.884324	-5.989404E-1	2023-10-20  17:21:56.884324	5.025471E-2
2023-10-20  17:21:56.884332	-5.989404E-1	2023-10-20  17:21:56.884332	3.750868E-2
2023-10-20  17:21:56.884340	-5.989404E-1	2023-10-20  17:21:56.884340	5.025471E-2
2023-10-20  17:21:56.884348	-5.989404E-1	2023-10-20  17:21:56.884348	4.600604E-2
2023-10-20  17:21:56.884356	-5.989404E-1	2023-10-20  17:21:56.884356	4.175736E-2
2023-10-20  17:21:56.884364	-6.412114E-1	2023-10-20  17:21:56.884364	4.175736E-2
2023-10-20  17:21:56.884372	-5.989404E-1	2023-10-20  17:21:56.884372	4.600604E-2
2023-10-20  17:21:56.884380	-6.412114E-1	2023-10-20  17:21:56.884380	2.476266E-2
2023-10-20  17:21:56.884388	-5.989404E-1	2023-10-20  17:21:56.884388	4.175736E-2
2023-10-20  17:21:56.884396	-5.989404E-1	2023-10-20  17:21:56.884396	2.901133E-2
2023-10-20  17:21:56.884404	-5.989404E-1	2023-10-20  17:21:56.884404	3.326001E-2
2023-10-20  17:21:56.884412	-5.989404E-1	2023-10-20  17:21:56.884412	3.326001E-2
2023-10-20  17:21:56.884420	-5.989404E-1	2023-10-20  17:21:56.884420	3.750868E-2
2023-10-20  17:21:56.884428	-5.989404E-1	2023-10-20  17:21:56.884428	3.326001E-2
2023-10-20  17:21:56.884436	-5.989404E-1	2023-10-20  17:21:56.884436	1.626531E-2
2023-10-20  17:21:56.884444	-5.989404E-1	2023-10-20  17:21:56.884444	3.326001E-2
2023-10-20  17:21:56.884452	-5.989404E-1	2023-10-20  17:21:56.884452	3.326001E-2
2023-10-20  17:21:56.884460	-5.989404E-1	2023-10-20  17:21:56.884460	3.750868E-2
2023-10-20  17:21:56.884468	-5.989404E-1	2023-10-20  17:21:56.884468	3.326001E-2
2023-10-20  17:21:56.884476	-5.989404E-1	2023-10-20  17:21:56.884476	2.051398E-2
2023-10-20  17:21:56.884484	-5.989404E-1	2023-10-20  17:21:56.884484	2.476266E-2
2023-10-20  17:21:56.884492	-5.989404E-1	2023-10-20  17:21:56.884492	2.901133E-2
2023-10-20  17:21:56.884500	-5.989404E-1	2023-10-20  17:21:56.884500	4.600604E-2
2023-10-20  17:21:56.884508	-5.989404E-1	2023-10-20  17:21:56.884508	2.901133E-2
2023-10-20  17:21:56.884516	-5.989404E-1	2023-10-20  17:21:56.884516	2.901133E-2
2023-10-20  17:21:56.884524	-5.989404E-1	2023-10-20  17:21:56.884524	2.051398E-2
