waveform	Ch0		Gen	
t0	2023-10-20  17:23:19.347988		2023-10-20  17:23:19.347988	
delta t	8.000000E-6		8.000000E-6	

time[0]	Ch0	time[1]	Gen
2023-10-20  17:23:19.347988	-6.834823E-1	2023-10-20  17:23:19.347988	8.424411E-2
2023-10-20  17:23:19.347996	-6.834823E-1	2023-10-20  17:23:19.347996	9.699014E-2
2023-10-20  17:23:19.348004	-6.834823E-1	2023-10-20  17:23:19.348004	9.274146E-2
2023-10-20  17:23:19.348012	-6.834823E-1	2023-10-20  17:23:19.348012	7.999544E-2
2023-10-20  17:23:19.348020	-6.834823E-1	2023-10-20  17:23:19.348020	7.999544E-2
2023-10-20  17:23:19.348028	-6.834823E-1	2023-10-20  17:23:19.348028	8.424411E-2
2023-10-20  17:23:19.348036	-6.834823E-1	2023-10-20  17:23:19.348036	7.999544E-2
2023-10-20  17:23:19.348044	-6.834823E-1	2023-10-20  17:23:19.348044	8.424411E-2
2023-10-20  17:23:19.348052	-6.834823E-1	2023-10-20  17:23:19.348052	8.424411E-2
2023-10-20  17:23:19.348060	-6.834823E-1	2023-10-20  17:23:19.348060	9.699014E-2
2023-10-20  17:23:19.348068	-6.834823E-1	2023-10-20  17:23:19.348068	7.999544E-2
2023-10-20  17:23:19.348076	-6.834823E-1	2023-10-20  17:23:19.348076	8.424411E-2
2023-10-20  17:23:19.348084	-6.834823E-1	2023-10-20  17:23:19.348084	7.999544E-2
2023-10-20  17:23:19.348092	-6.412114E-1	2023-10-20  17:23:19.348092	7.999544E-2
2023-10-20  17:23:19.348100	-6.834823E-1	2023-10-20  17:23:19.348100	6.724941E-2
2023-10-20  17:23:19.348108	-6.834823E-1	2023-10-20  17:23:19.348108	7.574676E-2
2023-10-20  17:23:19.348116	-6.834823E-1	2023-10-20  17:23:19.348116	7.574676E-2
2023-10-20  17:23:19.348124	-6.834823E-1	2023-10-20  17:23:19.348124	7.574676E-2
2023-10-20  17:23:19.348132	-6.834823E-1	2023-10-20  17:23:19.348132	7.999544E-2
2023-10-20  17:23:19.348140	-6.834823E-1	2023-10-20  17:23:19.348140	7.999544E-2
2023-10-20  17:23:19.348148	-6.834823E-1	2023-10-20  17:23:19.348148	8.424411E-2
2023-10-20  17:23:19.348156	-6.834823E-1	2023-10-20  17:23:19.348156	7.149809E-2
2023-10-20  17:23:19.348164	-6.412114E-1	2023-10-20  17:23:19.348164	6.724941E-2
2023-10-20  17:23:19.348172	-6.412114E-1	2023-10-20  17:23:19.348172	7.149809E-2
2023-10-20  17:23:19.348180	-6.834823E-1	2023-10-20  17:23:19.348180	6.724941E-2
2023-10-20  17:23:19.348188	-6.834823E-1	2023-10-20  17:23:19.348188	7.574676E-2
2023-10-20  17:23:19.348196	-6.412114E-1	2023-10-20  17:23:19.348196	5.875206E-2
2023-10-20  17:23:19.348204	-6.834823E-1	2023-10-20  17:23:19.348204	7.149809E-2
2023-10-20  17:23:19.348212	-6.834823E-1	2023-10-20  17:23:19.348212	7.574676E-2
2023-10-20  17:23:19.348220	-6.412114E-1	2023-10-20  17:23:19.348220	6.300074E-2
