N1,Date1,Time1,Signal1,N2,Date2,Time2,Signal2
56,2023-10-20,17:21:56.884276,-0.6412114,56,2023-10-20,17:21:56.884276,0.04600604
57,2023-10-20,17:21:56.884284,-0.5989404,57,2023-10-20,17:21:56.884284,0.05025471
58,2023-10-20,17:21:56.884292,-0.5989404,58,2023-10-20,17:21:56.884292,0.04175736
59,2023-10-20,17:21:56.884300,-0.6412114,59,2023-10-20,17:21:56.884300,0.03750868
60,2023-10-20,17:21:56.884308,-0.6412114,60,2023-10-20,17:21:56.884308,0.05025471
61,2023-10-20,17:21:56.884316,-0.5989404,61,2023-10-20,17:21:56.884316,0.02901133
62,2023-10-20,17:21:56.884324,-0.5989404,62,2023-10-20,17:21:56.884324,0.05025471
63,2023-10-20,17:21:56.884332,-0.5989404,63,2023-10-20,17:21:56.884332,0.03750868
64,2023-10-20,17:21:56.884340,-0.5989404,64,2023-10-20,17:21:56.884340,0.05025471
65,2023-10-20,17:21:56.884348,-0.5989404,65,2023-10-20,17:21:56.884348,0.04600604
66,2023-10-20,17:21:56.884356,-0.5989404,66,2023-10-20,17:21:56.884356,0.04175736
67,2023-10-20,17:21:56.884364,-0.6412114,67,2023-10-20,17:21:56.884364,0.04175736
68,2023-10-20,17:21:56.884372,-0.5989404,68,2023-10-20,17:21:56.884372,0.04600604
69,2023-10-20,17:21:56.884380,-0.6412114,69,2023-10-20,17:21:56.884380,0.02476266
70,2023-10-20,17:21:56.884388,-0.5989404,70,2023-10-20,17:21:56.884388,0.04175736
71,2023-10-20,17:21:56.884396,-0.5989404,71,2023-10-20,17:21:56.884396,0.02901133
72,2023-10-20,17:21:56.884404,-0.5989404,72,2023-10-20,17:21:56.884404,0.03326001
73,2023-10-20,17:21:56.884412,-0.5989404,73,2023-10-20,17:21:56.884412,0.03326001
74,2023-10-20,17:21:56.884420,-0.5989404,74,2023-10-20,17:21:56.884420,0.03750868
75,2023-10-20,17:21:56.884428,-0.5989404,75,2023-10-20,17:21:56.884428,0.03326001
76,2023-10-20,17:21:56.884436,-0.5989404,76,2023-10-20,17:21:56.884436,0.01626531
77,2023-10-20,17:21:56.884444,-0.5989404,77,2023-10-20,17:21:56.884444,0.03326001
78,2023-10-20,17:21:56.884452,-0.5989404,78,2023-10-20,17:21:56.884452,0.03326001
79,2023-10-20,17:21:56.884460,-0.5989404,79,2023-10-20,17:21:56.884460,0.03750868
80,2023-10-20,17:21:56.884468,-0.5989404,80,2023-10-20,17:21:56.884468,0.03326001
81,2023-10-20,17:21:56.884476,-0.5989404,81,2023-10-20,17:21:56.884476,0.02051398
82,2023-10-20,17:21:56.884484,-0.5989404,82,2023-10-20,17:21:56.884484,0.02476266
83,2023-10-20,17:21:56.884492,-0.5989404,83,2023-10-20,17:21:56.884492,0.02901133
84,2023-10-20,17:21:56.884500,-0.5989404,84,2023-10-20,17:21:56.884500,0.04600604
85,2023-10-20,17:21:56.884508,-0.5989404,85,2023-10-20,17:21:56.884508,0.02901133
86,2023-10-20,17:21:56.884516,-0.5989404,86,2023-10-20,17:21:56.884516,0.02901133
87,2023-10-20,17:21:56.884524,-0.5989404,87,2023-10-20,17:21:56.884524,0.02051398
88,2023-10-20,17:21:56.884532,-0.5989404,88,2023-10-20,17:21:56.884532,0.03326001
89,2023-10-20,17:21:56.884540,-0.5989404,89,2023-10-20,17:21:56.884540,0.01626531
90,2023-10-20,17:21:56.884548,-0.5989404,90,2023-10-20,17:21:56.884548,0.02476266
91,2023-10-20,17:21:56.884556,-0.5989404,91,2023-10-20,17:21:56.884556,0.02476266
92,2023-10-20,17:21:56.884564,-0.5989404,92,2023-10-20,17:21:56.884564,0.02051398
93,2023-10-20,17:21:56.884572,-0.5989404,93,2023-10-20,17:21:56.884572,0.007767956
94,2023-10-20,17:21:56.884580,-0.5566694,94,2023-10-20,17:21:56.884580,0.02051398
95,2023-10-20,17:21:56.884588,-0.5989404,95,2023-10-20,17:21:56.884588,-0.0007293946
96,2023-10-20,17:21:56.884596,-0.5566694,96,2023-10-20,17:21:56.884596,0.02476266
97,2023-10-20,17:21:56.884604,-0.5566694,97,2023-10-20,17:21:56.884604,0.01626531
98,2023-10-20,17:21:56.884612,-0.5989404,98,2023-10-20,17:21:56.884612,0.01201663
99,2023-10-20,17:21:56.884620,-0.5989404,99,2023-10-20,17:21:56.884620,0.02051398
100,2023-10-20,17:21:56.884628,-0.5989404,100,2023-10-20,17:21:56.884628,0.01201663
101,2023-10-20,17:21:56.884636,-0.5989404,101,2023-10-20,17:21:56.884636,0.02476266
102,2023-10-20,17:21:56.884644,-0.5143985,102,2023-10-20,17:21:56.884644,0.007767956
103,2023-10-20,17:21:56.884652,-0.5566694,103,2023-10-20,17:21:56.884652,0.02051398
104,2023-10-20,17:21:56.884660,-0.5566694,104,2023-10-20,17:21:56.884660,0.007767956
105,2023-10-20,17:21:56.884668,-0.5566694,105,2023-10-20,17:21:56.884668,0.02051398
106,2023-10-20,17:21:56.884676,-0.5566694,106,2023-10-20,17:21:56.884676,-0.0007293946
107,2023-10-20,17:21:56.884684,-0.5566694,107,2023-10-20,17:21:56.884684,0.02476266
108,2023-10-20,17:21:56.884692,-0.5989404,108,2023-10-20,17:21:56.884692,0.007767956
109,2023-10-20,17:21:56.884700,-0.5566694,109,2023-10-20,17:21:56.884700,0.01626531
110,2023-10-20,17:21:56.884708,-0.5566694,110,2023-10-20,17:21:56.884708,0.003519281
111,2023-10-20,17:21:56.884716,-0.5143985,111,2023-10-20,17:21:56.884716,-0.0007293946
112,2023-10-20,17:21:56.884724,-0.5143985,112,2023-10-20,17:21:56.884724,0.01626531
113,2023-10-20,17:21:56.884732,-0.5143985,113,2023-10-20,17:21:56.884732,0.02051398
114,2023-10-20,17:21:56.884740,-0.5143985,114,2023-10-20,17:21:56.884740,0.01201663
115,2023-10-20,17:21:56.884748,-0.5143985,115,2023-10-20,17:21:56.884748,0.02901133
116,2023-10-20,17:21:56.884756,-0.5143985,116,2023-10-20,17:21:56.884756,-0.00497807
117,2023-10-20,17:21:56.884764,-0.5143985,117,2023-10-20,17:21:56.884764,-0.0007293946
118,2023-10-20,17:21:56.884772,-0.5143985,118,2023-10-20,17:21:56.884772,0.02051398
119,2023-10-20,17:21:56.884780,-0.5143985,119,2023-10-20,17:21:56.884780,0.01201663
120,2023-10-20,17:21:56.884788,-0.5143985,120,2023-10-20,17:21:56.884788,-0.0007293946
121,2023-10-20,17:21:56.884796,-0.5143985,121,2023-10-20,17:21:56.884796,0.01626531
122,2023-10-20,17:21:56.884804,-0.4721275,122,2023-10-20,17:21:56.884804,-0.0007293946
123,2023-10-20,17:21:56.884812,-0.4721275,123,2023-10-20,17:21:56.884812,0.007767956
124,2023-10-20,17:21:56.884820,-0.4721275,124,2023-10-20,17:21:56.884820,0.01626531
125,2023-10-20,17:21:56.884828,-0.4721275,125,2023-10-20,17:21:56.884828,0.003519281
126,2023-10-20,17:21:56.884836,-0.4721275,126,2023-10-20,17:21:56.884836,-0.00497807
127,2023-10-20,17:21:56.884844,-0.4721275,127,2023-10-20,17:21:56.884844,-0.0007293946
128,2023-10-20,17:21:56.884852,-0.4721275,128,2023-10-20,17:21:56.884852,-0.0007293946
129,2023-10-20,17:21:56.884860,-0.4721275,129,2023-10-20,17:21:56.884860,0.01201663
130,2023-10-20,17:21:56.884868,-0.4298565,130,2023-10-20,17:21:56.884868,0.01201663
131,2023-10-20,17:21:56.884876,-0.4298565,131,2023-10-20,17:21:56.884876,-0.00497807
132,2023-10-20,17:21:56.884884,-0.4298565,132,2023-10-20,17:21:56.884884,0.007767956
133,2023-10-20,17:21:56.884892,-0.4298565,133,2023-10-20,17:21:56.884892,-0.0007293946
134,2023-10-20,17:21:56.884900,-0.4298565,134,2023-10-20,17:21:56.884900,0.01201663
135,2023-10-20,17:21:56.884908,-0.4298565,135,2023-10-20,17:21:56.884908,0.01626531
136,2023-10-20,17:21:56.884916,-0.3875856,136,2023-10-20,17:21:56.884916,0.01626531
137,2023-10-20,17:21:56.884924,-0.3875856,137,2023-10-20,17:21:56.884924,0.01201663
138,2023-10-20,17:21:56.884932,-0.3875856,138,2023-10-20,17:21:56.884932,-0.00497807
139,2023-10-20,17:21:56.884940,-0.3875856,139,2023-10-20,17:21:56.884940,-0.0007293946
140,2023-10-20,17:21:56.884948,-0.3875856,140,2023-10-20,17:21:56.884948,-0.00497807
141,2023-10-20,17:21:56.884956,-0.3453146,141,2023-10-20,17:21:56.884956,-0.01347542
142,2023-10-20,17:21:56.884964,-0.3453146,142,2023-10-20,17:21:56.884964,0.007767956
143,2023-10-20,17:21:56.884972,-0.3453146,143,2023-10-20,17:21:56.884972,-0.00497807
144,2023-10-20,17:21:56.884980,-0.3453146,144,2023-10-20,17:21:56.884980,0.01201663
145,2023-10-20,17:21:56.884988,-0.3453146,145,2023-10-20,17:21:56.884988,0.003519281
146,2023-10-20,17:21:56.884996,-0.3453146,146,2023-10-20,17:21:56.884996,0.007767956
147,2023-10-20,17:21:56.885004,-0.3453146,147,2023-10-20,17:21:56.885004,-0.0177241
148,2023-10-20,17:21:56.885012,-0.3453146,148,2023-10-20,17:21:56.885012,0.007767956
149,2023-10-20,17:21:56.885020,-0.3453146,149,2023-10-20,17:21:56.885020,0.007767956
150,2023-10-20,17:21:56.885028,-0.3453146,150,2023-10-20,17:21:56.885028,0.01201663
151,2023-10-20,17:21:56.885036,-0.3030436,151,2023-10-20,17:21:56.885036,-0.0007293946
152,2023-10-20,17:21:56.885044,-0.3453146,152,2023-10-20,17:21:56.885044,0.01201663
153,2023-10-20,17:21:56.885052,-0.2607726,153,2023-10-20,17:21:56.885052,0.007767956
154,2023-10-20,17:21:56.885060,-0.2607726,154,2023-10-20,17:21:56.885060,-0.0007293946
155,2023-10-20,17:21:56.885068,-0.2607726,155,2023-10-20,17:21:56.885068,-0.00497807
156,2023-10-20,17:21:56.885076,-0.2607726,156,2023-10-20,17:21:56.885076,0.003519281
157,2023-10-20,17:21:56.885084,-0.2607726,157,2023-10-20,17:21:56.885084,0.003519281
158,2023-10-20,17:21:56.885092,-0.2607726,158,2023-10-20,17:21:56.885092,0.01201663
159,2023-10-20,17:21:56.885100,-0.2607726,159,2023-10-20,17:21:56.885100,-0.01347542
160,2023-10-20,17:21:56.885108,-0.2607726,160,2023-10-20,17:21:56.885108,0.007767956
161,2023-10-20,17:21:56.885116,-0.2185017,161,2023-10-20,17:21:56.885116,-0.00497807
162,2023-10-20,17:21:56.885124,-0.2607726,162,2023-10-20,17:21:56.885124,-0.0007293946
163,2023-10-20,17:21:56.885132,-0.2607726,163,2023-10-20,17:21:56.885132,0.01626531
164,2023-10-20,17:21:56.885140,-0.2185017,164,2023-10-20,17:21:56.885140,0.003519281
165,2023-10-20,17:21:56.885148,-0.2185017,165,2023-10-20,17:21:56.885148,-0.00497807
166,2023-10-20,17:21:56.885156,-0.2185017,166,2023-10-20,17:21:56.885156,-0.0007293946
167,2023-10-20,17:21:56.885164,-0.1762307,167,2023-10-20,17:21:56.885164,0.01201663
168,2023-10-20,17:21:56.885172,-0.2185017,168,2023-10-20,17:21:56.885172,-0.00497807
169,2023-10-20,17:21:56.885180,-0.1762307,169,2023-10-20,17:21:56.885180,-0.00497807
170,2023-10-20,17:21:56.885188,-0.1762307,170,2023-10-20,17:21:56.885188,-0.009226745
