waveform	Ch0		Gen	
t0	2023-10-20  17:04:56.613935		2023-10-20  17:04:56.613935	
delta t	8.000000E-6		8.000000E-6	

time[0]	Ch0	time[1]	Gen
2023-10-20  17:04:56.613935	-1.021650E+0	2023-10-20  17:04:56.613935	1.201663E-2
2023-10-20  17:04:56.613943	-1.021650E+0	2023-10-20  17:04:56.613943	1.626531E-2
2023-10-20  17:04:56.613951	-1.021650E+0	2023-10-20  17:04:56.613951	7.767956E-3
2023-10-20  17:04:56.613959	-1.021650E+0	2023-10-20  17:04:56.613959	2.051398E-2
2023-10-20  17:04:56.613967	-1.021650E+0	2023-10-20  17:04:56.613967	1.201663E-2
2023-10-20  17:04:56.613975	-1.021650E+0	2023-10-20  17:04:56.613975	-7.293946E-4
2023-10-20  17:04:56.613983	-1.021650E+0	2023-10-20  17:04:56.613983	2.476266E-2
2023-10-20  17:04:56.613991	-1.021650E+0	2023-10-20  17:04:56.613991	7.767956E-3
2023-10-20  17:04:56.613999	-1.021650E+0	2023-10-20  17:04:56.613999	-4.978070E-3
2023-10-20  17:04:56.614007	-1.063921E+0	2023-10-20  17:04:56.614007	7.767956E-3
2023-10-20  17:04:56.614015	-1.063921E+0	2023-10-20  17:04:56.614015	-4.978070E-3
2023-10-20  17:04:56.614023	-1.106192E+0	2023-10-20  17:04:56.614023	-7.293946E-4
2023-10-20  17:04:56.614031	-1.106192E+0	2023-10-20  17:04:56.614031	2.476266E-2
2023-10-20  17:04:56.614039	-1.063921E+0	2023-10-20  17:04:56.614039	3.519281E-3
2023-10-20  17:04:56.614047	-1.063921E+0	2023-10-20  17:04:56.614047	7.767956E-3
2023-10-20  17:04:56.614055	-1.106192E+0	2023-10-20  17:04:56.614055	7.767956E-3
2023-10-20  17:04:56.614063	-1.106192E+0	2023-10-20  17:04:56.614063	-7.293946E-4
2023-10-20  17:04:56.614071	-1.106192E+0	2023-10-20  17:04:56.614071	-7.293946E-4
2023-10-20  17:04:56.614079	-1.148463E+0	2023-10-20  17:04:56.614079	1.201663E-2
2023-10-20  17:04:56.614087	-1.148463E+0	2023-10-20  17:04:56.614087	7.767956E-3
2023-10-20  17:04:56.614095	-1.106192E+0	2023-10-20  17:04:56.614095	1.626531E-2
2023-10-20  17:04:56.614103	-1.148463E+0	2023-10-20  17:04:56.614103	7.767956E-3
2023-10-20  17:04:56.614111	-1.148463E+0	2023-10-20  17:04:56.614111	-4.978070E-3
2023-10-20  17:04:56.614119	-1.148463E+0	2023-10-20  17:04:56.614119	3.519281E-3
2023-10-20  17:04:56.614127	-1.148463E+0	2023-10-20  17:04:56.614127	7.767956E-3
2023-10-20  17:04:56.614135	-1.148463E+0	2023-10-20  17:04:56.614135	-7.293946E-4
2023-10-20  17:04:56.614143	-1.190734E+0	2023-10-20  17:04:56.614143	1.201663E-2
2023-10-20  17:04:56.614151	-1.190734E+0	2023-10-20  17:04:56.614151	1.626531E-2
2023-10-20  17:04:56.614159	-1.190734E+0	2023-10-20  17:04:56.614159	7.767956E-3
2023-10-20  17:04:56.614167	-1.190734E+0	2023-10-20  17:04:56.614167	3.519281E-3
2023-10-20  17:04:56.614175	-1.190734E+0	2023-10-20  17:04:56.614175	1.626531E-2
2023-10-20  17:04:56.614183	-1.190734E+0	2023-10-20  17:04:56.614183	1.201663E-2
2023-10-20  17:04:56.614191	-1.190734E+0	2023-10-20  17:04:56.614191	7.767956E-3
2023-10-20  17:04:56.614199	-1.190734E+0	2023-10-20  17:04:56.614199	1.201663E-2
2023-10-20  17:04:56.614207	-1.190734E+0	2023-10-20  17:04:56.614207	-7.293946E-4
2023-10-20  17:04:56.614215	-1.190734E+0	2023-10-20  17:04:56.614215	1.201663E-2
2023-10-20  17:04:56.614223	-1.233005E+0	2023-10-20  17:04:56.614223	7.767956E-3
2023-10-20  17:04:56.614231	-1.233005E+0	2023-10-20  17:04:56.614231	1.201663E-2
2023-10-20  17:04:56.614239	-1.233005E+0	2023-10-20  17:04:56.614239	7.767956E-3
2023-10-20  17:04:56.614247	-1.275276E+0	2023-10-20  17:04:56.614247	-4.978070E-3
2023-10-20  17:04:56.614255	-1.275276E+0	2023-10-20  17:04:56.614255	-7.293946E-4
2023-10-20  17:04:56.614263	-1.275276E+0	2023-10-20  17:04:56.614263	1.201663E-2
2023-10-20  17:04:56.614271	-1.275276E+0	2023-10-20  17:04:56.614271	2.476266E-2
2023-10-20  17:04:56.614279	-1.275276E+0	2023-10-20  17:04:56.614279	7.767956E-3
2023-10-20  17:04:56.614287	-1.275276E+0	2023-10-20  17:04:56.614287	7.767956E-3
2023-10-20  17:04:56.614295	-1.275276E+0	2023-10-20  17:04:56.614295	3.519281E-3
2023-10-20  17:04:56.614303	-1.275276E+0	2023-10-20  17:04:56.614303	-7.293946E-4
2023-10-20  17:04:56.614311	-1.317547E+0	2023-10-20  17:04:56.614311	7.767956E-3
2023-10-20  17:04:56.614319	-1.317547E+0	2023-10-20  17:04:56.614319	7.767956E-3
2023-10-20  17:04:56.614327	-1.317547E+0	2023-10-20  17:04:56.614327	1.201663E-2
2023-10-20  17:04:56.614335	-1.317547E+0	2023-10-20  17:04:56.614335	1.201663E-2
2023-10-20  17:04:56.614343	-1.359818E+0	2023-10-20  17:04:56.614343	1.626531E-2
2023-10-20  17:04:56.614351	-1.359818E+0	2023-10-20  17:04:56.614351	1.626531E-2
2023-10-20  17:04:56.614359	-1.359818E+0	2023-10-20  17:04:56.614359	1.626531E-2
2023-10-20  17:04:56.614367	-1.359818E+0	2023-10-20  17:04:56.614367	3.519281E-3
2023-10-20  17:04:56.614375	-1.359818E+0	2023-10-20  17:04:56.614375	-4.978070E-3
2023-10-20  17:04:56.614383	-1.359818E+0	2023-10-20  17:04:56.614383	7.767956E-3
2023-10-20  17:04:56.614391	-1.359818E+0	2023-10-20  17:04:56.614391	7.767956E-3
2023-10-20  17:04:56.614399	-1.359818E+0	2023-10-20  17:04:56.614399	1.201663E-2
2023-10-20  17:04:56.614407	-1.359818E+0	2023-10-20  17:04:56.614407	-4.978070E-3
2023-10-20  17:04:56.614415	-1.402089E+0	2023-10-20  17:04:56.614415	1.626531E-2
2023-10-20  17:04:56.614423	-1.402089E+0	2023-10-20  17:04:56.614423	7.767956E-3
