signal2,signal3
0.657102687905763,0.00567869868052764
0.781116725388077,0.00674411096500503
0.896173960286489,0.00773029765212209
0.997491851595683,0.00859680027988688
1.08161720965041,0.00931506951293651
1.1466871055754,0.00987051924298879
1.19248283415224,0.0102623250867123
1.22028238288638,0.0105026296805418
1.2325471606497,0.0106135366181385
1.23249040774046,0.010622972871544
1.22365283415522,0.0105608142009102
1.20942856155881,0.0104556914392411
1.19275644820118,0.0103315437516621
1.17593088060014,0.010206782128111
1.1604543584204,0.0100932722876742
1.14712160894657,0.0099966478363021
1.13614988184916,0.00991838975829448
1.12734965949768,0.00985624125608505
1.12031914068791,0.00980703681089126
1.11460838163491,0.0097672438119728
1.10983373004711,0.00973399059362552
1.10573380040971,0.00970507267229452
1.10217175377514,0.00967955060473081
1.09909868463913,0.00965686808417738
1.09649799995069,0.00963688745696189
1.09422097948974,0.00961774677175139
1.09238589624524,0.0096007925507355
1.09072694849703,0.00958360442474382
1.08895009677801,0.00956367655643389
1.08677660871082,0.00953953864654705
1.08396155457833,0.00950956638627177
1.08032745062322,0.00947294631534682
1.07578643720702,0.00942877486147945
1.0703517431199,0.00937744789092341
1.06414054075733,0.00931908683248856
1.05734166243183,0.00925477168334833
1.05022791464461,0.00918598660379845
1.04309083011005,0.00911438772850376
1.0362203278572,0.00904178952113811
1.02984452332577,0.00896964295087922
1.02414168132824,0.00890048794783426
1.01922594302408,0.00883538395925694
1.01507538172449,0.00877614495184682
1.01160885428533,0.00872435970906182
1.0086741125247,0.00868010162439403
1.00608168039855,0.00864344707199987
1.00362002400932,0.0086136260847953
1.00110642819427,0.00858952089038306
0.998399277730951,0.00857039548369415
0.995413011381193,0.00855451226045222
0.992122803706778,0.00854139321721762
0.988558864980444,0.00852931659953643
0.984792097170146,0.00851725738133657
0.980914324281323,0.0085046094964923
0.977006178326246,0.00849046806066941
0.97314150244635,0.00847345943738449
0.969361724299935,0.00845194517775501
0.965666357479305,0.0084241579507061
0.962056284112021,0.00838897829145359
0.958490488424609,0.00834544749898376
0.954948943121479,0.00829318508324634
0.95143112822008,0.00823299599600448
0.947938092730823,0.00816683790586973
0.944524974565613,0.00809844617404906
0.941256964921518,0.00803177473496096
0.938176892242827,0.00797131394606069
0.935338648674636,0.00792129408569583
0.932759532661044,0.00788509789422392
0.930411359660824,0.00786409300674826
0.928216088907056,0.00785767832280374
0.926051294942978,0.00786309707731913
0.923754028509678,0.00787546903940881
0.921165402270389,0.00788853528962008
0.918142098789733,0.00789589642340409
0.914585351232236,0.00789161377057805
0.910448898774021,0.00787125999223027
0.905781612671583,0.00783299783345298
0.90069188714346,0.00777744874389637
0.895325396240235,0.00770756165862814
0.88989152921323,0.00762914223039166
0.884573659161212,0.00754826018489116
0.879550180999518,0.00747174900142319
0.874916662636744,0.00740512307305846
0.870709736851844,0.00735219982762313
0.866883646020181,0.00731481380364287
0.863321978022881,0.00729254119912549
0.859856647376095,0.00728243511336271
0.856294641826895,0.00728018466993401
0.852451869102609,0.00728106294285841
0.848166591857094,0.00727948700283038
0.843339718206021,0.00727178371132061
0.837955387792897,0.00725482230829616
0.832046836706056,0.0072276287897796
0.825721890818463,0.00719109934681757
0.819124353019141,0.00714678509326214
0.812445883274728,0.00709788135875639
0.80586647830976,0.00704757157266514
0.799541313607288,0.00699884669810878
0.79360342074611,0.0069545516417123
0.78814055870139,0.00691537927870078
0.783198194480583,0.00688201008014701
0.778784813168942,0.00685335687689997
0.774870240561202,0.00682788545505896
0.771422900791434,0.00680357048412805
0.768390897557324,0.00677875359892804
0.765735600648883,0.00675166760953434
0.763427631600181,0.00672072237432909
0.761426847532737,0.00668548378649115
0.759713910781203,0.00664670360350178
0.758253270791667,0.00660499678222594
0.756977469353708,0.00656189973671375
0.755817186903495,0.0065189515415861
0.754668495854162,0.00647759978692082
0.753386822176847,0.00643935805446949
0.75183439293298,0.00640494918743879
0.74983296702244,0.00637442189906603
0.747235392380948,0.00634714410156489
0.743929500869373,0.00632199885943783
0.739826976334648,0.00629754249709136
0.73491504788184,0.00627197521962943
0.729250589873235,0.00624366028252067
0.722950058615708,0.00621091958105074
0.716203336608476,0.00617290948361632
0.709245868930233,0.00612958909004248
0.702339271346424,0.00608073470209218
0.695725586136355,0.00602806941815553
0.689636614131339,0.00597299219373823
0.684229439758809,0.00591750108571277
0.679584215816571,0.00586334321133366
0.675722896981275,0.00581229009897083
0.672564611618508,0.00576526237651047
0.669990833726872,0.00572232870493726
0.667818280359416,0.00568343571778806
0.665857122702757,0.00564626985328724
0.663924957667191,0.00560920512521483
0.661868338226429,0.00557006465374317
0.659577645634229,0.00552629812536596
0.656982379332563,0.00547621757183662
0.654060348289125,0.00541941124524078
0.650858929807463,0.00535620997316453
0.647415839303833,0.00528790962504796
0.643799417643684,0.00521799557011697
0.640071792346836,0.00515050365063743
0.636274718332211,0.00508952429242406
0.632438532385017,0.00503918101549513
0.628570778434309,0.00500275340232606
0.624683021093247,0.00498218344004641
0.620742148893623,0.00497705904936839
0.616740088540813,0.00498527107571788
0.612669412724249,0.00500276137654805
0.608530131168476,0.00502436476212578
0.604333398543786,0.0050441248928556
0.600083522866181,0.00505606591504954
0.595794751135686,0.00505546586777113
0.591474517346442,0.00503870582230844
0.587108414944245,0.00500549341168603
0.582692693106063,0.0049567991687801
0.57820000249826,0.00489648586754516
0.573603122789243,0.00482975690650745
0.568866473064281,0.00476277933934361
0.563975251739261,0.00470145448643074
0.558938150779535,0.00465063476061264
0.553773042586859,0.00461360773093979
0.548510964691415,0.00459081000831185
