signal0,signal1
1.218711,0.01069463
1.17644,0.01026976
1.17644,0.009420025
1.17644,0.01026976
1.17644,0.01026976
1.17644,0.01069463
1.17644,0.01069463
1.17644,0.01026976
1.17644,0.009420025
1.134169,0.00857029
1.17644,0.009844893
1.17644,0.01069463
1.17644,0.01069463
1.134169,0.01026976
1.134169,0.01069463
1.17644,0.008995158
1.134169,0.009420025
1.134169,0.01026976
1.134169,0.01026976
1.134169,0.01026976
1.091898,0.009844893
1.091898,0.008995158
1.091898,0.009420025
1.091898,0.009420025
1.091898,0.01026976
1.091898,0.00857029
1.091898,0.008995158
1.091898,0.009844893
1.091898,0.01069463
1.091898,0.0111195
1.091898,0.009420025
1.091898,0.00857029
1.091898,0.008995158
1.049627,0.008995158
1.091898,0.00857029
1.049627,0.009420025
1.007356,0.008995158
1.091898,0.009844893
1.049627,0.01026976
1.007356,0.008995158
1.007356,0.009420025
1.007356,0.007720555
1.007356,0.008145423
1.007356,0.00857029
1.007356,0.008995158
1.007356,0.008145423
1.007356,0.00857029
1.007356,0.00857029
1.007356,0.009420025
1.007356,0.008145423
1.007356,0.009420025
1.007356,0.00857029
0.9650855,0.007720555
0.9650855,0.00857029
0.9650855,0.00857029
0.9650855,0.008995158
0.9650855,0.007295688
0.9650855,0.00857029
0.9650855,0.007720555
0.9650855,0.008995158
0.9650855,0.008995158
0.9650855,0.00857029
0.9650855,0.00857029
0.9228145,0.007295688
0.9228145,0.00857029
0.9650855,0.007295688
0.9228145,0.007720555
0.9228145,0.008995158
0.9228145,0.007295688
0.9228145,0.007295688
0.9228145,0.00687082
0.9228145,0.007295688
0.9228145,0.008995158
0.9228145,0.007720555
0.9228145,0.008995158
0.9228145,0.008145423
0.9228145,0.007295688
0.9228145,0.008145423
0.8805435,0.00857029
0.8805435,0.007295688
0.8805435,0.007295688
0.8382726,0.00687082
0.8805435,0.007295688
0.8805435,0.007295688
0.8382726,0.007295688
0.8805435,0.006445953
0.8805435,0.00687082
0.8382726,0.00857029
0.8805435,0.007295688
0.8382726,0.007720555
0.8382726,0.006445953
0.8382726,0.008145423
0.8382726,0.007295688
0.8382726,0.00687082
0.8382726,0.00687082
0.7960016,0.007720555
0.7960016,0.00687082
0.7960016,0.007295688
0.7960016,0.006021085
0.7537306,0.00687082
0.7960016,0.006445953
0.7960016,0.00687082
0.7537306,0.00687082
0.7960016,0.008145423
0.7537306,0.00687082
0.7960016,0.006445953
0.7537306,0.007295688
0.7537306,0.00517135
0.7537306,0.006445953
0.7537306,0.00687082
0.7537306,0.006445953
0.7537306,0.00687082
0.7537306,0.007720555
0.7537306,0.006445953
0.7537306,0.006021085
0.7537306,0.005596218
0.7537306,0.006021085
0.7537306,0.006021085
0.7114597,0.006021085
0.7537306,0.00687082
0.7537306,0.00687082
0.7114597,0.006445953
0.7114597,0.006445953
0.7114597,0.005596218
0.7114597,0.006021085
0.7114597,0.005596218
0.6691887,0.006445953
0.6691887,0.005596218
0.6691887,0.006021085
0.6691887,0.00687082
0.6691887,0.004746482
0.6691887,0.004746482
0.6691887,0.006445953
0.6691887,0.005596218
0.6691887,0.005596218
0.6691887,0.006021085
0.6691887,0.005596218
0.6691887,0.004746482
0.6691887,0.006021085
0.6269177,0.00517135
0.6269177,0.006021085
0.6691887,0.004321615
0.6269177,0.00517135
0.6269177,0.005596218
0.6269177,0.006021085
0.6269177,0.003896747
0.6269177,0.004746482
0.6269177,0.00517135
0.6269177,0.003896747
0.6269177,0.00517135
0.6269177,0.00517135
0.5846467,0.00517135
0.5846467,0.00517135
0.5846467,0.004746482
0.5846467,0.005596218
0.5846467,0.005596218
0.5846467,0.006021085
0.5846467,0.004321615
